倩女幽魂手游科举答题器 科举答案大全_蚕豆网新闻
科举答案大全

2500、在明朝科举制度中，一甲进士称：|赐进士及第
2868、贵州苗族的药材独步天下，少数民族常常用药材来换取日常生活所需的钱和物品。请问不属于贵州苗族三大中药的药材是?|黄芪 杜仲

2869、下面哪一项不属于道家学术的主张?|克己复礼

2870、商朝最后一位皇帝是：|纣王

2871、远古神话中，被世人称为药王的是：|神农

2872、三国中，浑身是胆的赵子龙出场就逐文丑救公孙瓒，单枪匹马击袁绍，请问赵云最初所属势力是?|袁绍

2873、古代时姓和氏是两个不同的概念，比如姜太公，姜姓，吕氏，名望。以下关于人物姓氏说法错误的是：|鲁班-鲁姓-公输氏

2874、菜根谭创作于我国古代哪一朝代?|明朝

2875、壬寅宫变发生在明朝哪一位皇帝统治时期?|嘉靖帝

2876、著名花鸟画《鹅图的画家是：|史道硕

2877、杭州名菜一品南乳肉是老百姓憎恨哪位奸臣把菜比喻为此人之肉：|贾似道

2878、康僧会，西域康居国大丞相的大儿子，单名会，他不仅精通佛法，且天文图纬，多所贯涉。请问他是下列哪个时期的人?|三国时期

2879、下列对于碟刑地狱129级BOSS鬼母描述不正确的是：|鬼母会群推 鬼母会召唤 鬼母会释放火伤害陷阱

2880、青城山属于：青城山位于四川省都江堰市西南，古称丈人山，与剑门之险，峨嵋之秀，夔门之雄齐名，有青城天下幽之美誉。|道教名山

2881、请问白马啸西风书中的高昌迷宫中的宝物不包括什么?|首饰

2882、于真人之外，加至少师兼少傅少保并拜三孤，带礼部尚书封恭诚伯，则文武极品矣。指的是谁?|陶仲文

2883、传说有神龟出于洛水，其甲壳上有图像，称龟书，后称洛书。那么这样的九宫图中左上到右下的斜线数字相加为：|15

2884、黄海位于中国大陆与下列哪一半岛之间：|朝鲜半岛

2885、按照中国传统的礼法，男女成亲需要三媒六聘，也叫三书六礼。以下哪个不属于三书?|订亲书

2886、中国象棋中，相的走法是：象的走法是：|不能越过河界

2887、封神中黄飞虎的第三子是?|黄天爵

2888、平仄，是中国诗词中用字的声调，以下的诗句，哪句不符合平平仄仄平这样的格律：|素手玉房前 城春草木深 山中黄叶飞

2889、诗兵车行的作者是：|杜甫

2890、曹植后期的作品多是表现自己壮志难酬，备受压抑的郁愤心理，典型代表作是：|赠白马王彪

2891、在书法史上，石鼓文属于下列哪一时代的作品：|先秦

2892、下列哪一个不是我国的自然保护区：|好望角自然保护区

2893、著名诗篇李凭箜篌引的作者是：|李贺

2894、辛弃疾的永遇乐中有元嘉草草，封狼居胥，赢得仓皇北顾一句，句中典故封狼居胥有关的历史人物是?|霍去病

2895、狂花病叶这句成语用来比喻下列哪一项：|醉酒的人

2896、诗句绿竹入幽径的下半句是：|青萝拂行衣

2897、作品牡丹亭的作者是：|汤显祖

2898、南京的市树是：|雪松

2899、它是中国石雕中的奇葩，民间称之为石帝-石后，并有贵石而贱玉之说。请问这一石雕是：|寿山石雕

2900、下列技能中不属于毒攻击技能的是：|枭蛇噬心

2901、聊斋志异与搜神记有极深的渊源，请问下列哪个故事在搜神记中没有类似篇目?|崂山道士穿墙术

2902、佛经中，舍利子，是诸法空相的下一句是：|不生不灭，不垢不净

2903、汉宫中文采斐然，品德出众，曾拒绝与皇帝同辇出游而被颂扬的女子是?|班婕妤

2904、请问下面哪一种动物是溯河性洄游?|大马哈鱼

2905、请问蒙汉药的组成成分主要是：|曼陀罗花

2906、以下哪部典籍诞生于汉代之后：|抱朴子

2907、抱朴子内篇-黄白记载，以曾青涂铁，铁赤色如铜，这段话描述的是：|铁与铜盐的置换反应

2908、云南美食名大救驾，这道菜色美诱人，兼有红黄绿白四色，又有极佳的口感，香糯细软，甜而不腻。请问这道菜肴救过哪位皇帝?|永历帝

2909、作品谏太宗十思疏的创作年代是：|唐朝

2910、五代干戈，四海瓜分豆剖，斯文道熄。以下词作，不属于李煜创作的是：|多少泪珠无限恨，倚阑干

2911、韩湘子之紫苏拂，何仙姑之灵芝拂，请问以下哪位也被用来作为拂尘的名字?|蓝采和

2912、墨经-鉴者近，则所鉴大，景亦大。其远，所鉴小，景亦小。而必正。描述的是哪种物品?|凸面镜

2913、水浒传里，殿前都太尉高俅，因蹴鞠的技艺出众而受到了_的青眼相看：|宋徽宗

2914、载歌载舞

2915、中国古代文字中最早，体系最完整的甲骨文最早使用于：|商朝

2916、远古神话中，蚩尤与黄帝的著名战争被称为：|涿鹿之战

2917、我国远古神话分为三类，其中不包括：|佛道类

2918、下列作者与作品对应正确的是：|窦鹅冤-关汉卿

2919、下列不属于历代留传下来的六部史诗性乐舞“六代乐舞”其中之一的是：|大文

2920、诗句去时里正与裹头的下半句是：|归来头白还戍边

2921、古代突厥，蒙古的首领一般被称为：|可汗

2922、汉惠帝刘盈与其皇后张嫣，是为政治婚姻强迫结合，请问他们之间的关系是?|舅舅和外甥女

2923、请问以下哪种金属可以用来治疗肾气攻心，奔豚嘴急，面黑欲死?|铅

2924、昆仑刀客训练师被称为昆仑奴，昆仑奴最有可能来源于哪里?|南海爪哇

2925、诗句清时有味是无能，闲爱孤云静爱僧的作者是：|杜牧

2926、下列位于塔里木盆地中部的沙漠是：|塔克拉玛干沙漠

2927、礼记-乡饮酒义里云：乡饮酒之礼，六十者三豆，七十者四豆。所以明养老也。请问这段话里的豆是什么意思?|菜肴

2928、隋唐小说和旧唐书中，时常有提到三个著名的人物-风尘三侠，这三个传奇人物，请问风尘三侠指的是：|虬髯客，李靖，红拂女

2929、诗秋登兰山寄张五的作者是：|孟浩然

2930、有井不知深，先将绳三折入井，绳长四尺，后将绳四折入井，绳长一尺，井深几何?|三十六尺

2931、三国中，关羽的兵器是：|青龙偃月刀

2932、诗句马上相逢无纸笔的下半句是：|凭君传语报平安

2933、请问哪个民族忌讳别人当面赞美自己的孩子，尤其不能说胖，认为这样会给孩子带来不幸?|哈萨克族

2934、潜水员潜入海底，在水面下不断下潜的过程中：|压强逐渐变大

2935、诗塞上曲的作者是：|王昌龄

2936、水浒传是我国第一部_自传小说：|章回体

2937、明朝万历年间，张居正改革所推行的法令是：|一条鞭法

2938、天不可信，地不可信，人不可信，心不可信，惟道可信，贤主秀士岂知哉。请问此话出自何处?|亢仓子

2939、正式废除分封制，推行郡县制始于：|秦

2940、史上比皇帝整整大了十九岁，却独宠后宫，留下诸多传奇的妃子是?|明宪宗贵妃万贞儿

2941、诗句乌衣巷口夕阳斜的斜字的同音字是：|霞

2942、宋徽宗当年为了私会李师师，又碍于九五之尊，权衡再三，想出了一条什么样的万全之策?|在禁宫和妓院之间以国防的名义挖了地下通道

2943、诗句古来青史谁不见的下半句是：|今见功名胜古人

2944、有门客为齐王作画，齐王问他：画什么最难。门客答：犬马最难。齐王又问：画什么容易。门客的回答是：|鬼怪

2945、以下哪一本不属于春秋战国时期的作品：|九章

2946、请问在历史上，铸剑大师干将将雄剑献给了下列哪位而惨遭质疑和杀害?|楚王

2947、全真道三大祖庭除终南山重阳宫和北京白云观以外，还有：|山西永乐宫

2948、君山指的是湖南岳阳县_中岛屿：|洞庭湖

2949、宋代沈括-梦溪笔谈中记载：阳燧面洼，向日照之，光皆聚向内。请问这描述的是下列哪种物品：|凹面镜

2950、傣族的男女婚俗有很多有趣奇妙的方式，请问以下男女婚俗有哪个不属于傣族的?|节日或集会 用草标情书

2951、印度尼西亚的爪畦有三宝垄，泰国有三宝港，马来西亚的马六甲有三宝城，这些国家以三宝为地名是为了纪念历史上的?|郑和下西洋壮举

2952、诗白雪歌送武判官归京的作者是：|岑参

2953、济公传说到明末清初成书，济公历史上确有其人，本名李修缘。请问他是哪个朝代的高僧?|南宋

2954、下列哪一座沙漠是我国最大的沙漠：|塔克拉玛干沙漠

2955、诗句行到水穷处，坐看云起时的作者是：|王维

2956、民间传说韩信在集市卖鱼时，被几个无赖毒打一顿后，是被邻居用一种神奇的草药治好。韩信草在我们游戏的商城中也能购买到，请问它是?|半枝蓬

2957、诗句浔阳江头夜送客的下半句是：|枫叶荻花秋瑟瑟

2958、诗古柏行的作者是：|杜甫

2959、据经典记载，释迦摩尼圆寂时，世寿几岁?|80

2960、支那作为对中国的称呼源自于：|印度

2961、下列不属于六艺的是?|论语

2962、和亲指的是封建统治者与_为了政治原因而进行的联婚：|少数民族首领

2963、名句玉容寂寞泪阑干的下半句是：|梨花一枝春带雨

2964、董小宛还有另一字青莲，她的名与字都是为了纪念一位名士，请问是谁?|李白

2965、在书法史上，唐草三杰是指：|张旭，怀素，贺知章

2966、从古自今，女人的身影就千姿百态地出现在战场上，其中以女妓身份出身的女将军是：|梁红玉

2967、归有光属于下列哪一个文学派别?|桐城派

2968、历史上，发动著名的玄武门之变的是：|李世民

2969、佛经中，色不异空的下一句是：|空不异色

2970、椿樗，香者为椿，臭者为樗。其气味苦温无毒。请问它可以用来治疗以下哪种疾病?|小儿疳疾

2971、中国象棋历史中，著作象棋神机集的作者是：|叶茂卿 洪迈 陈元靓

2972、七月指的是：|申

2973、介绍京剧的歌曲唱脸谱中有-蓝脸的窦尔敦盗御马，红脸的关公战长沙一句。在京剧中，蓝脸展现的是下列何种性格?|刚强，骁勇，有心计

2974、中国历史上，特务政治最严重的朝代是：|明朝

2975、庄子是先秦庄子学派的创始人。请问他是战国时代哪国人?|宋国人

2976、这把有影无形的长剑就是在列子-汤问之中被列子激赏的：|承影剑

2977、明史专家吴晗在朱元璋中描述古代君臣关系。君臣关系从坐而站而跪。说明中国古代中央政治制度演变的重要物点是：|中央的权力日益向帝王集中

2978、它是中国古代货币，形状似铲，它在春秋早期出现，直至战国晚期铸行并流通的铲形货币。请根据常识判断，这种货币类型是：|布币

2979、倩女online中有一味补气血的药叫做红花丸，在现实中，红花性温味辛，请问红花的药效主要是：|活血通经，散淤止痛

2980、在明朝科举制度中，三甲进士称：|赐同进士出身

2981、规定五十岁以上农民可以纳绢代役，减轻了农民负担的是哪个皇帝?|隋文帝

2982、天仙子是医师给自己回血的一个技能，在现实中天仙子是致幻植物中的佼佼者，请问天仙子的致幻部位是它的：|种子

2983、大唐西域记记录了玄奘法师游历西域的所见所闻，而玄奘又被称为三藏法师，请问原因是?|他精通佛学中的经，律，论

2984、佛家对比较短的时间有许多词语来描述，这些词语都是层层递进的，请问一下词语由短到长正确排序的是?|刹那-瞬间-弹指-须臾

2985、杜甫最接近的死法是：|吃死的

2986、诗句苦恨年年压金线，为他人作嫁衣裳出自：|贫女

2987、在书法史上，著名的书法家杨凝式是下列哪一时代的人：|五代

2988、对楚辞体的形成影响最大的是楚地的哪一特别风俗?|巫歌

2989、水浒中，阮小二的外号是：|立地太岁

2990、40至69的师门任务不包括：|挑战任务

2991、组队获得善恶点中，队伍的平均等级与怪的等级相差_级以上，且_级以下，队长才能获得善恶点：|8。20

2992、官府任务的领取NPC是：|曾仁

2993、青田石雕，是指以青田石为材料雕制而成的中国传统工艺品。青田石产于中国东部的青田县。请问青田县位于下列哪个省?|浙江省
